蕾,雷
甘,二
高,冋
罘,不
爱,友
倨,居
竺,二
伎,支
京,小
弯,弓
啄,豕
籶,几
晄,光
却,卩
悲,心
坨,它
谺,牙
仉,几
鹅,鸟
珎,尔
野,予
祢,尔
田,十
屍,死
仳,比
脎,杀
耻,止
缀,叕
蜀,虫
谱,普
霹,辟
咐,付
模,莫
问,口
筋,肋
筷,快
曙,署
痛,甬
么,厶
昆,比
国,玉
使,吏
增,曾
岳,山
黝,幼
萄,匋
寄,奇
偌,若
缴,敫
毁,殳
坷,可
仄,人
六,八
搪,唐
决,夬
箕,其
般,殳
柩,久
齐,丨
刘,刂
魔,鬼
职,只
邻,阝
奘,大
封,寸
烘,共
弱,冫
回,口
沌,屯
英,央
邃,遂
粤,丂
饿,我
侩,会
碚,咅
错,昔
撒,散
诏,召
盛,皿
卢,尸
廷,壬
救,攵
峭,肖
鸽,鸟
撮,最
镓,家
糠,康
钚,不
络,各
邱,阝
胆,旦
辗,展
怜,令
鸵,它
十,十
力,力
噤,禁
赅,亥
惹,心
楔,契
玄,幺
渗,参
贫,贝
鹩,鸟
眉,目
咖,加
黯,音
庸,月
区,乂
烷,完
蛰,虫
链,连
背,月
怦,平
钵,本
厨,寸
藿,霍
墟,虚
拖,也
连,车
荫,阴
遢,塌
洔,寺
炭,灰
惋,宛
腮,思
捂,吾
忆,乙
筒,同
枰,平
身,身
晤,吾
豚,豕
亏,丂
恋,心
柜,巨
蚪,斗
铵,安
疑,疋
昌,日
婷,亭
佯,羊
隐,急
蝌,科
垦,土
做,故
堰,妟
鸢,鸟
掸,单
惯,贯
征,正
队,人
咬,交
獗,厥
宜,且
肠,扬
泽,又
永,冫
鬟,睘
绯,非
设,殳
剐,刂
鹈,鸟
晶,日
衡,大
晰,析
浑,军
脐,齐
獾,雚
嵩,高
树,对
项,页
勒,力
等,寺
馈,贵
保,呆
肝,干
翊,羽
塑,土
毙,死
秋,火
罗,夕
喋,枼
糗,臭
噬,巫
婊,表
颈,页
秒,少
药,约
报,又
诿,委
宗,示
韩,韦
岙,山
钓,勺
蕉,焦
肘,寸
水,水
收,攵
俑,甬
揶,耶
求,水
旯,九
广,广
铁,失
强,虽
酮,同
尬,介
柚,由
腼,面
超,召
黜,出
兆,兆
甜,甘
