review,label
我脏了，成了铁粉,1.0
看见这么多人骂你，我就放心了,0.0
这个人怎么会被一直骂，有人告诉我一下吗,0.0
怪了死人也能睡觉？,0.0
我说过了，你如果再发一条微博，你家就死一个人,1.0
心疼你，早知道我就骂si你了，不然你也不会这么痛苦了,1.0
无意点开，逝者安息,1.0
我看你被骂的笑的睡不着了,1.0
为了赚钱真实脸都不要了,1.0
只有我一个人觉得你应该死吗？,1.0
听到你这么说我就放心了,0.0
没有骂死你是我的错,1.0
mmp你個憨皮,1.0
明年这个时候我一定会祭拜你的，逝者安息🙏🙏🙏,1.0
愿天堂没有蹭热度的yxh,1.0
为啥你还不被封号,0.0
招能拍死木子洋洋的苍蝇拍💙💚💛💝💝💓,1.0
这边建议你直接被骂死呢,1.0
你妈没了,1.0
太好了,0.0
不明白你为什么能在人间游荡？是黑白无常开小差了？请安息,1.0
无意点开 逝者安息,1.0
不是我一百多个赞的评论说删就删，我是沙发，洋洋出来对线,0.0
骂的好，也许你在刷聪明，也许你明知，却为了吸热度才这样说,1.0
你怎么还活着,1.0
？？？你没si呢,1.0
你打篮球像蔡徐坤,0.0
你去厕所睡吧，那个味道很适合你这个人的,1.0
无意点开 逝者安息🙏在天堂要好好的,1.0
木子洋洋走了，走得很痛苦，火化的时候还诈了尸，一直喊我没有死，最后用铁链绑着烧完的。火很旺，烧得嘎吱响，烧了三天三夜，家属很坚强，一个哭的都没，还有一个忍不住笑出了声，那晚风很大，运骨灰路上还翻了车，把骨灰盒摔碎了，刚要捧点儿骨灰，来了辆洒水车，车上唱着今天是个好日子,1.0
即使敌众我寡末将也能万军丛中取你的亲妈首级,1.0
啊，我也睡不着觉了,0.0
为什么我被删评了好不容易那么多赞！！！,0.0
我的铁粉头衔掉了,0.0
木子洋洋,0.0
我也好难受，骂你骂得睡不着觉了,1.0
为啥世界上总有那么一堆人脸皮厚，还贱呢,1.0
你咋还没死呢,1.0
那就出来继续挨骂？？,1.0
只有我一个觉得你是条狗吗？热度🐶,1.0
睡不觉干脆就别睡了吧,0.0
是你，b被🌿 烂的🐔 哦,1.0
这么多人骂你，你也不想想为什么,1.0
只有我一个人认为他在⛵️骗流量吗？,1.0
黄泉路上这么绕吗？？？,1.0
我不骂人只骂🐶,1.0
你🐴 逼死,1.0
你原来是个没🐴的微博号啊 到处招黑是厌倦人世了吗,1.0
睡不着好啊，没脑子不需要睡觉,1.0
就是为了火？,1.0
你做这么缺德的事对你有什么好处？,1.0
换个头像你就是个人,1.0
木子洋死了,1.0
给老子爬,1.0
给老子爬！！！,1.0
亲，这边建议你直接去世呢，不高玷污我们的眼睛,1.0
那就离开这个世界吧,1.0
那就回你家祖坟去吧比较适合死人,1.0
别tm用肖战头像,1.0
这是啥东西啊,0.0
hhhhhhhh真有意思,0.0
骂死你了,1.0
我擦 我还以为他真的是只喜欢苹果不喜欢华为勒 然后在哪里迎战？？ nbnb这系列只有啥不喜欢啥都成造句王连？？ 看啥说啥？ 要是有图我就给你们看了,1.0
赶紧死了吧，免得这yxh天天被轰，你看见大家骂你很开心？好像你是挺开心的,1.0
即使关注你，我也要骂你！骂完再取关！！！,1.0
只有我一个人觉得木子洋洋日了了吗,1.0
恶心死我了怎么哪里都有你这个臭弟弟你怎么还活着憨批,1.0
死了就睡的着了,1.0
那就逝者安息,1.0
每天一骂辣鸡洋 心情瞬间爽歪歪,1.0
4⃣️🐒自会长眠,1.0
无意点开，逝者安息...,1.0
扫墓,1.0
缺乏存在感的营销号,0.0
那你就把账号注销了吧,1.0
举报你,0.0
yyr你怎么还没死？？？？？,1.0
您怎么还不死？,1.0
"木子洋洋走了，走得很痛苦，火化的时候还诈了尸，一直喊我没有死，最后用铁链绑着烧完的。火很旺，烧得嘎吱响，烧了三天三夜，家属很坚强，一个哭的都没，还有一个忍不住笑出了声，那晚风很大，运骨灰路上还翻了车，把骨灰盒摔碎了，刚要捧点儿骨灰，来了辆洒水车,车上唱着今天是个好日子",1.0
我看你不是睡不着觉 你是被骂得太激动了 从来没见过这么多人关注你来骂你 刷存在感没完了 骂肖战来搏关注真bt,1.0
你用着肖战的头像去黑他？ 脸皮真厚,1.0
我把你🐴 天灵盖撬开看看什么货色能拉出你,1.0
我再骂你就不好了，如果你再失眠，那就是太棒了,1.0
看见你睡不着还被骂我就舒心了,1.0
你还没死呀,1.0
难受好可怜，被你键盘敲出来,1.0
为什么骂你你自己不清楚,1.0
你把头像给我换了就不骂你了,1.0
希望你好好活着,0.0
你都睡不着还这么能蹦跶，你太坚强了,0.0
恶心,1.0
那就别睡了  起来继续看别人骂你哦,1.0
你活着是个奇迹,1.0
原来你没有妈妈啊,1.0
可以去si,1.0
你睡你婆皮,1.0
该啊，你是孤儿吗，没人教你尊重吗,1.0
这不就是你想要的吗？？？,1.0
我感觉你他妈是杨洋的黑粉吧哪凉快哪呆着去吧,1.0
该,1.0
放心，不会关注你的，吐口痰就走，舒服了！,1.0
滚,1.0
哈哈哈哈哈哈哈哈,0.0
nm今晚biss,1.0
想红想疯了吗 扛精,1.0
活该！安息吧,1.0
在精神病院，医生会让你长眠，不要害怕哦，洋洋加油！,1.0
死吗东西滚,1.0
你怎么不死,1.0
牛逼呀 大v了都,0.0
真的好奇被举报成这样你怎么还在,0.0
宁是活该,1.0
早日超生,1.0
你在地狱我在人间，我俩就不在一个维度，,1.0
只有我一个人觉得很开心吗,0.0
死人也有睡眠？长知识了,1.0
看到有人骂你我就放心了,1.0
自己找骂的,1.0
怎么不想想为什么被骂呢,0.0
逝者安息,1.0
谢谢你的关注，13号诛仙了解一下,0.0
你是不是有bing？？？,1.0
真的是。。这么缺钱的吗,0.0
牛p蹦了？评论删了干啥子？四川的热搜都是你能蹭的撒，地震多修的房子抗震，说话都不动你的猪脑壳的吗？,1.0
骂你可以被赞到2200年,1.0
别用我哥哥头像好吗,0.0
坟头睡觉？,1.0
怎么会有如此厚颜无耻之人,1.0
生活很苦吧，靠被骂来挣钱,1.0
今天中秋节，给你送个祝福。中秋快乐 ，希望你在地下早日和你家人团聚,1.0
今天中秋节，给你送个祝福。中秋快乐,0.0
你们不要点赞不要评论不要给他热度 拜托了各位🙃,0.0
看到你被骂的睡不着，我就很开心了！！,1.0
愿你一睡不醒,1.0
只有我不喜欢迷路的木子洋洋吗,0.0
您最好被我们骂的不睡觉,1.0
你该死,1.0
你早点投胎去吧,1.0
要我说，，，这是心理疾病吧，，为了博眼球也不至于做到这个程度啊,1.0
你直接死吧，这样能睡很久,1.0
脸呢,1.0
你怎么还没死,1.0
死人还会睡觉？,1.0
死人也能说话了?,1.0
骂你是不是要关注,1.0
傻吧,1.0
那你别睡了，直接死吧,1.0
换头像！,0.0
谢谢 愿你安息🕯,1.0
别睡了，多熬几天赶紧猝死也算是你为人民的眼睛做了一大贡献，天天在热搜评论里看到你你不恶心我恶心,1.0
你这种比，就该睡不着，早点得抑郁症，跳楼去,1.0
呸活该,1.0
好啊你棺材里有味儿吧怪不得睡不着觉呢来我帮你放点屎壳郎进去除味还能拱一拱你脑壳里的屎,1.0
你咋没死呢？我还等着去宁坟头跳舞呢,1.0
祝您全家赶紧死去吧,1.0
耶耶耶太棒了,0.0
哈哈哈哈哈,0.0
这年头猪🐷都玩微博了吗,1.0
你该死了,1.0
666,0.0
是你自己造的孽。没读书就快去读书，现在老年大学也有了，请把你素质提高再来。,1.0
为什么有好多木子洋洋,0.0
你好贱,1.0
呵呵呵,0.0
睡不着好啊，就应该天天睡不着,1.0
一个赞，洋洋的坟头长草一米,1.0
其实我不明白，你图啥呢？,0.0
那不是骂，是我们对逝者的唾弃,1.0
只有我一个人觉得迷路的木子洋洋锕活该被喷吗,1.0
别骂洋洋了，洋洋私底下是个儒雅随和的人呢,0.0
觉得骂的好的举爪,1.0
爸爸的快乐你想不到,0.0
你赶紧死,1.0
你每天这么做是为了在地狱给自己找点乐子吗,1.0
别光截别人评论的图宝贝，把你发的话也发出来好吗,1.0
骂的好,1.0
(痒痒鼠过来的)只有我一个人觉得你妈biss吗？,1.0
骂得太好了，你也好自为之，别出来惹人生气了,1.0
只有我一个人觉得他不配发微博吗？一个已经逝世的人到处蹭热度，不是我们可怜你你就是个孤儿，还是好好安息吧！！,1.0
我这条评论超过一个赞你都活不过今晚,1.0
你们为什么都骂他我新来的,0.0
这个博主到底是谁啊？这么招骂？,0.0
套用他的话      咳咳    只有我觉得他很蠢么,1.0
对不起 我向你道歉 但下次还会,0.0
想想自己吧 姐们儿何必呢,0.0
只有我觉得你该骂么？？？？,1.0
难听吗！？？？,0.0
你是得罪了多少家粉丝啊,0.0
我以后不开心只能只能你发发泄了，对不住了哈！那就祝你司全家吧？OK？,1.0
该!,1.0
你说的话就很好听了?,0.0
难你妈,1.0
我都懒得骂你了,1.0
自己也好自为之吧,0.0
这难听吗？对你来说多好听,0.0
有时候你不觉得自己骂的更难听吗？这样有意思吗？何必呢？有这点时间不如自己做点有意义的事！,1.0
确实，对逝者骂是很不尊敬的,1.0
我巴不得你🐴早死,1.0
求你们别骂了  你们越骂他 他越挣钱  一个个傻子一样,1.0
你这样又能怎样呢？满足？开心？博眼球？每天处在这种争吵的环境中不难受吗？就算是营销号，为了挣钱，也不用这样吧，搞得大家都不舒服，你也不舒服吧。,1.0
去你🐴,1.0
拿肖战的头像招黑,0.0
你买的起华为吗？,0.0
能不能把头像换了,0.0
你可真恶心，以为微博是你家啊你爸妈真可怜，生出来你这么恶心的人,1.0
好好的人不做，为啥要找虐呢，兄弟劝你善良点,1.0
那是没您高雅,0.0
心里没点数？,0.0
儿子回来吃饭吧，你妈坟上的菜已经做好三天了，就等你回来,1.0
你的评论不要出现在我们面前就行,1.0
无意点开 逝者安息🙏,1.0
看到都是骂你的就开心了。无意点开，逝者安息,1.0
你骂别人咒别人死就别怪别人骂你了呀,1.0
你婆臭臭皮,1.0
只能说你活该,1.0
没骂你呀，只是想当你爸爸而已啊,1.0
你可真是个不要脸的小人才,1.0
逝者安息🙏,1.0
自己先在那挑事，你不活该吗,1.0
呦呵 这就不行了 我们还没说其他的呢,1.0
你自己去人家楼底下说找人不喜欢的话，怪人家这么回复你吗。为什么不截图自己说的话，只截图别人给你的评论。你不喜欢可以不去说这样谁也不招惹谁不好嘛。懂点事吧。,1.0
爸爸的快乐你想象不到，德云女孩你惹不起？,1.0
劝你好自为之，憨憨，靠着黑别人给自己涨粉涨名气真不是一般不要脸，骂你是看得起你，谢谢,1.0
抗日战争时候  把你脸贴在城墙上   面积又大又厚   机关枪都打不透,1.0
还不死？,1.0
雨我无瓜,0.0
鲁迅：你就值得这样的话语!,0.0
活该呀！你不BB谁会骂你！你爹的快乐你咋会知道,1.0
这种人为了热度真的什么事都能做出来,0.0
你评论的话怎么不截出来？自己非要借着我们火一把，怪我们喽！,1.0
自己挑事的时候怎么没想到？脑子水多要不扔了吧,1.0
那行吧，你爹的快乐你想象不到,0.0
生而为人 务必善良,0.0
他们骂的是人吗？搞笑,1.0
自己说别人的时候就不觉得话难听了？以其人之道还其人之身,1.0
活该被骂,1.0
拜托别用肖战照片,0.0
我觉得那听我就放心了,0.0
滚蛋 滚出微博,1.0
当这么多人都讨厌你  你是不是该自己反思一下   好自为之的不是我们  是你！,1.0
你不配,1.0
哗众取宠,1.0
你献祭亲🐴上热评，就是为了赚钱买个铲子给你🐴埋了，对不起，我错怪你了👻,1.0
哭🐶,1.0
爸爸们说你一句怎么了？,0.0
你自己好自为之就好,0.0
爸爸的快乐你想象不到,0.0
骂你怎么了你不该骂吗  天天去蹭热评你怎么不上天呢  很好玩是吧 无不无聊没脑子吗   靠这种东西来博得关注  你真的有病  垃圾,1.0
骂的就是你 你妈今晚被我暗杀,1.0
扇自己嘴 别一天天那么欠,1.0
兄弟，不是我说在有生之年能被这么多人骂，你也真的是荣幸啊,1.0
