review,label
给中评吧，穿两天就裤裆起球了,0
骗人的店家，买的回来就死了，狗日还不负责,1
毕竟大部分都是企鹅的脑残粉，每天必冲脑残值，有些几十块或者上百的，还是挺耐玩的，想开G就做好后期算账的准备吧，仓库里的极品都呵呵达，投诉不没人理。这才是健康游戏。输了游戏，还有生活。,1
一般吧，乌龟发条已经滑丝了，云朵里的小猪已经进水漂不起来了,0
坑啊，真心坑，一年300小时，平均每天必须学习50分钟，还没提升3个等级，才发保障课程，这些条件还真多，商人都是唯利是图，打心底的不希望大家入坑，我班级100人，一直坚持的不到20人，其他人钱都是打水漂的,0
吹吹笛子不就慢慢的出去了？印度人真是傻。,1
花了十块钱，毛都没有，也不能换金币，差评,0
骗子，别上当了，给我发过来两件抹布，抹布都比这好，而且好像别人穿过，脏兮兮的,0
129买的,0
好宝贝，材质柔软，使用非常的爽，抹点润滑油玩起来滑滑的，插进去像真的女人一样，水水不停的往外出，太爽啦，一个人在房间自嗨太合适了，建议大家用的时候涂点润滑油，真的会更爽的很适合单身男性，是个很好的选择.,0
你就一屌丝，醒醒吧，软妹不会操你妈的，我，不就是风格百变吗，老子爱变就变，不是你个菜b说变就变的,1
一打开就这样,0
你全家都有病，全家前列腺，不爱看别评论，有病就去治，煞笔,1
穿一天我的大脚趾就磨了破，扔了，第一次买到这么差的东西,0
此款宝贝真乃是神兵一件呐，从拿到手到现在，不管是有没有空调，每天必备要享受一下清凉补水的小风扇，电池还挺耐用的，从回来还没充过电呢，可能是用的时间不够长吧，宝贝唯一的缺陷就是水壶堵住了很大气一块，而且这块的风会因此吹到后面去的，设计如果能改到周围一圈应该会更好一点吧,0
千万别买这家东西，微信就是个傻逼，骗子。以前真心不错，微信换了个傻X，千万别买了，真的是骗子,1
你她妈才傻逼臭婊子滚粗,1
不起球，不掉色,0
刚拿到老公就迫不及待的试穿了一下，面料很舒适，是那种速干的透气的面料，运动穿正合适，尺码也是标准的,0
收到马上就用上了，效果还是很满意的，以后就这家了好评,0
很多赠品，感觉不错��,0
送的东西也不错,0
与车子大小不符，小了很多,0
非常棒，漂亮,0
哥们介绍给我的，质量应该没有问题,0
在林小曼直播间秒杀的，第一次买这种食物，没想到物流这么快，打开吃了很好吃，是秋葵的原味，没有太多的添加和处理，吃着酥脆，生产日期是最近的,0
穿着大衣去抢劫?老三有病，我叫什么和你有关系？我拆散你爸妈了？啧啧啧，你长那么丑，基因也不见得有多好，我才不要呢，辣眼睛，也不知道谁不要脸，你想火是不，帮你火啊,1
铁螺帽，没镀过比之前的尺寸小了,0
死狗，你偷我标题我说啥了吗,1
老车换个音乐换种心情，真好，太好了,0
质量好像不怎么好，涂上去几个小时就脱掉了，便宜没有好货,0
你们她妈的都像着卖家说话，都是找来的帮托吧，还有那些信誉不会也是刷来的吧，你管我，我愿意就他妈的差评了，挨你们逼事了，晚上没玩美来这蹭痒痒了,1
衣服没有很大味道，洗了也不掉色,0
?闹闹?不连麦就不会逼逼了？？,1
我会觉得太大了哈哈，女神款可能更好,0
草莓晶挺透亮的，里面有些棉絮不过还好啦，做了一个手链,0
本以为是软的，没想到是硬的,0
能装很多东西,0
[红包]情感垃圾场,1
大家千万不要叫这家送鱼都是发臭的简直是无良商家,1
比想象的要差,0
这个主播是傻子,1
东西异已经收都到还没开始用看着不错先给个好评,0
【红包】你的神经病女友已上线,1
关键是给孩子用很放心，再也不怕他摔了，而且打开之后也没有异味,0
拆开快递，钢化膜就是碎的,0
杯子没问题，商家太小气洗杯刷都不送一个物流也不负责把物件放更加的代收点,0
简单，易操作，而且定型也不错，就是新手弄的有点不对称，就不晒图了,0
鞋子样子简单，穿起来非常舒服，很柔软，走路不会累，显脚瘦,0
我，，，我他妈荡个秋千晒个太阳%0A他他他突然从楼上飞下个菜篮子%0Awoc是哪个丑八怪嫉妒你爷爷我的美貌%0A想让我毁容的？啊？%0A幸...,1
就这些个低能儿要学历没学历，素质教养都没有可怜这些低能儿的父母,1
电量真的很足呢，出去玩的话只需要带这一个充电宝就行了，说实话现在的手机实在是太耗电了，而且用久了电池就越来越，不耐用了，充满了连一天都用不了，在外面又不好充电，有了这个充电宝就好用多啦，而且这个充电宝很小巧，小小一个，很方便携带的哦,0
谢谢泽泽，粒粒的热情服务,0
之前对比我很多家，最终确定这家，事实证明我的选择没错，卖家耐心细致，东西包裹完好，东西质量非常不错，物超所值了，还准备在入手一件，还在对比犹豫的小伙伴们，不要在犹豫了，拍它没错的,0
内衣套装美美的，特意穿了一下来评论，穿着不会滑下来，夏天可以美美的,0
卧槽人妖,1
真心感谢，随时随地可以充话费了,0
动物学会应该上前线，前线上的人更希望你保护，别装人做狗。,1
很时髦的灯啊，非常的漂亮，摆在卧室，一下子觉得屋里都提升了一个档次，本来很担心运输上出现磕碰，没想到卖家包装的很仔细，完全不必担心,0
送了一堆的东西，刚刚开始用，洗发水有一股浓浓的中药香味，味道还挺重的，还有点冲，不喜欢的慎拍，不过洗完感觉头发挺干净的，防脱发有没有效果就不知道了，先用着吧，客服说，要用好几个月，才能见效，物流贼快,0
我是你爹，草你妈的,1
终于收到我需要的宝贝了，价美物廉，谢谢掌柜的，说实在，这是我淘宝购物来让我最满意的一次，无论是客服的态度还是对物品，我都非常满意的，小吃货态度很专业热情，回复也很快，我问了不少问题，他都不觉得烦，都会认真回答我，这点我向小吃货和璇姐表示由衷的敬意，这样的好店家可不多，再说宝贝，正是我需要的，收到的时候包装完整，打开后让我惊喜的是，宝贝比我想象中的还要好，不得竖起大拇指，上新的时候我还会再来的,0
听她说是效果很好，吃了快一年了，这次又买了半年的量，只要健康就好,0
��狼大叔你爸你妈死了努力才有未来,1
为什么国内媒体在不了解真像就报道是媒体垃圾吗？,1
什么玩意儿,1
声音略大，快递并不是顺丰��，客服服务很好��,0
真的特别好吃��买过好几次了，很新鲜，没有任何返潮迹象,0
so，small.,0
以后就在这里买咖啡了,0
日你，不爽双倍,1
送了点小礼物,0
在美美直播间购买的，一起拍了2件，冬天做打底穿,0
有夏日风情,0
宝贝如期而至，朋友很是满意，偷偷告诉你，我买第五双了��,0
尬聊会儿呗，哈哈，蠢死,1
丑萌的旺仔，还是浮雕的有手感不是光的，我只能说美滋滋，下次再买个及时行乐,0
傻逼楼主，我去睡觉了，找头像累死爸爸了[哭泣]安,1
对比了很多家果然没有让我失望，滑板比想象的大，很大一个纸箱子装的，卖家还送了螺丝刀和油还有贴纸，滑板轮子很灵活正在学习中,0
你也别惹麻烦，死王八,1
草泥马，买东西还要给好评才能用一个月，给了以后一天都到期，骗子，怎么不死你们全家呢！臭不要脸的！够逼,1
一直以来很喜欢四叶草，原来买的丢了，现在这款感觉比以前的好看，只是链子的长度要的有点长了，要短款好了,0
简直完美，马上过来回购,0
不知道，可能我的脚没有啥角质，可我老觉得我的脚有点硬，我的脚太丑了，又长，但是有什么办法，我得爱上脚丑丑的自己，所以我只用了两次，颜色特别的好看，绿绿的透明的，用完会感觉有点嫩，但没有很大是改变，应该要多用，可是我懒啊，所以保养这件事还是得勤，天道酬勤，加油吧，我的脚，要努力变得好看,0
这个贵妃边有没有他宣传的那么好吃就是很普通的一个电芯，感觉不是很足，但是我吃起来我很爱吃甜食，但是天涯下次不会再来这个，我就比较干，他们家好像就拿书和红豆沙比较好吃，但是发货好吗，已经三天了，还不见动静,0
买了一整套针，平时家里缝缝补补完全够了，针的质量很好，完全满意，会在回购,0
同心度好，视目清晰,0
也实惠，推荐,0
差劲死了，发货发的错的，跟图片上不一样，问客服，还非得要好评跟追评才给返钱，真的是差劲，质量也不怎么样,0
我艹这傻叉买家/:815,1
东西质量不好，鞋架不好，劝大家还是看看评论再买吧，巨坑，东西质量差，售后客服态度差，鞋架就是十多块钱买了一堆烂塑料回来，柱子跟孔型号不同，先是物流一直停滞不前，找找客服就是一直说明天；后来质量售后问题，也是一直说明天，简直是“明日复”，一点客服的职业道德都没有，商家也是，一点商家的良知都没有，这是最差的一次购物体验,0
试穿了一下裤子感觉蛮不错的，质量也是杠杠的，快递速度蛮快,0
防漏水是不错，但是对于才开始学用饮水杯的小朋友来太困难，大人吸起来都要用点劲，外还是可爱的，长大后再用啦,0
傻逼呗,1
不错买了三个很好上妆也不花妆水一泡就变大,0
物流速度，服务点赞，很方便打扫起来很干净，声音不会很大，赞,0
椰子非常好'超级甜'和泰国喝的一样好喝,0
五彩数字，形状，让孩子学会熟悉和分类，玩了一个下午，我宝宝已经很厉害了，总之，宝宝喜欢……,0
够大,0
不要。你滚。呵，死皮赖脸的臭女人,1
@小苹果你可能是个蠢比,1
你他妈的看了一两集电视剧就感觉男主角比你爸还亲，都是这煞笔,1
尼玛，我招你惹你了,1
去把扣件都拆了，让你还直播去，有手有脚做点什么不好,1
衣衣漂漂，稀饭,0
买来过几天穿的，试了一下非常漂亮,0
时间老是不准,0
买的小的，上班装手机钱包够用了ps：小号的中间拉链是装饰，大号的是可以装东西的，大家可以参考下呢,0
穿在脚上很合适，这个价钱太实惠了，款式今年最流行的,0
超级满意哦，很大棵状态都很赞,0
拆开来看，有两条是坏的，有很多个大洞，质量相当差,0
衣服洗了两次缩水5公分,0
裤子还可以，很凉快，价格也划得来,0
这是用淘宝以来最差的一次，头一次给差评，但是没办法忍无可忍这次，首先不拿东西说事，就这个处理态度来说就极差，可以反映卖家的人品，刚开始少发东西我可是什么都没说，就等着补发了，结果我等了四五天都没收到，我就查了一下卖家给的补发单号，结果查完给我的单号是个假的，我真就不明白了，你可以说不给我发，也没必要给个假的糊弄人，毕竟没有多少钱的东西，你们这么处理不昧着良心嘛，还动不动说不管了，在这吓唬谁呢，那态度整的在你这买东西你感觉挺牛逼似的，你们这种态度谁敢在买东西，给以后淘友们一点借鉴，这次购物是真的让人很无语,0
至尊宝??你他妈不爽,1
以后有活动优惠券还会来买，日期也很新鲜,0
卡脚，鞋底很硬，脚被磨破了,0
一开始还担心质量不好呢，没想到回来质量这么好，自己组装上了，太完美啦,0
衣服软软的，故意买的大俩个号，喜欢夏天宽松点,0
拍下的组合300+320，发来的组合260+280，诚信呢,0
漏发了防掉链，想要个说法而已，结果店家采取冷处理，我也只能呵呵了,0
和第一次买的不一样，第一瓶用了淡化了一点，又买了两瓶用了没效果，发来是假的，上当了,0
就是感觉夏天穿会不会有点厚，总体来说还可以吧，所以好评,0
款式做工都很好,0
给儿子买得，等儿子看看在说,0
买来配高腰裙的，很合适卖家人很好赶在我出门旅游之前收到了，物流也很快以后会常来的,0
酸奶很浓厚，就是有点甜,0
到账速度非常快，真的是超快的，哈，有需要的赶紧购买吧，秒到账,0
长得不好看的神经病欢迎光临,1
小东西大用处不错,0
本来拍的是头和身都带灯，结果发成不带灯的，小孩子有点失望不是很满意,0
刮胳膊和腿上的蛮好用，就是腋下的不太好刮,0
衣服手感很好，很实惠,0
收到衣服后试穿了一下，感觉面料轻薄凉快，面料有坠感，款式时尚洋气，本人穿薄底平底鞋身高一米五九，104斤，买的m号，给喜欢的朋友们参考，客服的服务态度非常好，耐心细致的解答,0
一个星期狗狗尾巴上的病屑已经好了，必须五星好评啊,0
信心保证,0
颜色都是日常可以用到的，持妆效果也挺好，送的眼影刷作为赠品也行非常好了，软软的，用着挺好，一大盘可以用好久，颜色全，很正很好看，粉质细腻，不会飞粉，很自然也很好上色，感觉包装也非常上档次，价格也比较实惠，带珠光的提亮真心好看，很容易上色所以要少量多次去上，上色快，不晕妆，推荐给闺蜜了,0
真个鸡巴。。一看价格都知道。。托儿,1
多希望是塑胶不会破,0
唉，我一个小主播被工会骗了还要被人骂没关系来啊！,1
每一件都很喜欢，每一件质量都很好，穿起来舒服质量超级好，赶上活动卖衣服太超值了,0
再也不担心水槽垃圾了,0
我晕，操你妈,1
我去你妈的把高级美食我他妈的等了他妈20分钟等了买你他妈去死吧，,1
店家卖假货操你妈逼的,1
ahdhfnjrbjdbfdineiueubevdfjdiedufbryhhgsenghgjvvuuhyggf,0
特别好，减龄神奇，看好秋装了,0
卧槽，我还看到过这个视频的另一个版本，说是济南的国三货车车主抗议游行，太特么骗人了。,1
穿过再评价,0
椅子收到了，外型很有艺术，亚麻透气,0
我他妈是备胎小公举？%0A有那么傻吗%0A被绿的话我是绝对会发现的%0A我又不傻%0A假双鱼,1
蛮好看的衣服，颜色耐看,0
笑笑1958038有病%0A,1
抹了几次油之后光亮的，过几天用用看,0
臭撒逼,1
别再假惺惺说什么应该让他去找喜欢的人了他开心我就幸福.你他妈幸福个屁啊.,1
快递也很不错的噢,0
傻b，生来就挨氧化钙的份,1
我家的猫已经中毒，飘飘欲仙了,0
那他妈还是有很多应用没有多语言啊，这只能说明他妈的会赚钱，并不代表国家层面好不好，编辑傻逼，狗日的,1
这块糟料还没死，好人不长命祸害一千年啊,1
很舒适,0
收到完好无损,0
款式好，灯具非常漂亮，本人非常喜欢，有需要下次还会来这家店,0
尼玛滚出来,1
反正A股是最差劲的股市！,1
这件衣服不是很满意，看上去衣服没毛病，但是宝宝一穿上身就使劲扒拉，应该是胸部拼接的地方没有做好，自己胳膊伸进去试了下，很扎人的感觉，懒得退回,0
我觉得没有很酸，就是太贵了,0
葛小姐，B大！嘴JIAN！,1
很开心,0
没有收到货物,0
你爹一定是俄国人//@手机用户52148738376:你爹肯定是美国人//@海天一色_:世界上邪恶帝国:朝鲜，伊朗，俄罗斯和叙利亚！,1
安装上挺好看，适合女孩子,0
爸爸喜欢花花跟我要图画本，这下够他花一阵子了,0
有点粗糙，铅坠大小不一,0
今天刚拿到，我想知道为什么，一打开有股好难闻的味道��,0
我他妈真是烦贾跃亭和乐视，吹牛无底线，还总是恶心别人。,1
这个码数偏大半质量很好,0
浪货界扛把子&藏在心,1
没有异味和色差，面料柔软穿着舒服且性感迷人,0
草泥马逼，死骗子。,1
蒋经国这个人死了还制造今古中华悬案传奇，让后人去想为中华民族振兴有利呢？还是台湾与祖国分治阻碍中华民族振兴而斗争，实不可取。,1
是我想要的感觉,0
看着有点小,0
下车继续光顾,0
，这个无耻的老太婆也挺会搞笑的嘛[捂脸][捂脸],1
而且别信是骗子，说两件包邮结果根本不还让我收到了找他，结果也不回信了，很low,0
安全裤质量可以，穿起舒适也透气,0
袜子很好看，摸起来感觉也很好,0
你滚,1
用了几天，实用，整洁厨房台面，让碗盘沥干水分，更卫生，不锈钢高端，大气，结实，耐用,0
这个价钱的质量，非常满意这次购物，有需要一定还会继续光顾,0
大草原good还在这比比呢,1
在网上曝出是很差的狗粮之后剩下没开封的两包都扔了，真后悔相信那些刷出来的好评，一分钱货永远是真理，难怪我家狗狗越来越瘦，还有点拉肚子，粗心的我一直以为是天气太热，现在想来就是这些黑心的卖狗粮fan子，辣鸡，败lei，良心何在,0
收到之后特意煲了几天才来评价，刚收到时的第一耳听起来就很惊艳了，声场很大，细节清晰缺点就是低音，煲了几天之后声场更加开阔也自然，无论是男声还是女声都非常好听也耐听，低音的量和下潜也都出来了，但还是缺一丢丢（平头塞能做到这种地步已经很不错了），缺点：有点大，佩戴的时候配合耳挂会好些，总结：听流行，古典，人声是都很不错的选择，另外想听好声音还得要好的音源和播放器才行，个人推荐一个入门级的国砖，某灵的m2s,0
不空杯，无钢圈的很舒服，浅色显得皮肤很白，一直买的店铺,0
第二次来了，这个效果很不错,0
可以说是高大上的一把雨伞,0
购物愉快,0
刚买回来，按键就不灵，按下去根本就不反弹，风也小，这么贵的价格，还是杂牌子，身边所有朋友都说买贵了，买的最大尺寸还是好小，哎这个价格真心坑爹不值得,0
用起来比较方便，非常顺手,0
味为很好，不刺鼻子,0
我要的是绿色的怎么是蓝,0
死美狗冇话你自己无能力，无本事……,1
就是对于我来说腰还是宽点,0
正在用中,0
很重的刀，别人喜欢我就买了，特地来评论给他个赞,0
差评,0
挺好的用着,0
物有所值很好用,0
买给弟弟穿的，他说很喜欢穿着也舒服，特别是踢球的时候，而且鞋子质量很好，穿了这么久才来评论的,0
还实惠，五⭐,0
柔软，亲肤感好，很舒适,0
打扮步行街四十年，额不很大惊喜你打吧干哈凶巴巴dvd好年纪大你几级对吧辛巴达不拿凯撒，刚发y诶不大吧v嘴巴上哪看i阿妈好的吧变动不居啊看不到vv都不拿碎觉v出发百废俱兴见到宝贝dv的v在手机是笑哈哈嘻回答或许查查粗茶还差吃继续很喜欢,0
世界上本来没有“健康”这回事，所谓健康，只是寻常，同样，好好说话也不是什么了不起的事，只是因为“坏坏说话”的人太多，给人心里添堵而不自知，才需要我们专门学习“好好说话”，在分科问诊，吃药打针之前，先来看个急诊，发现自己身边的说话误区吧,0
很棒，果肉爆满,0
多折了，太不行了,0
拿来一直没评价，吃过之后才过来评价的，量也比较足，原本以为在网上买可能没有这么好，结果拿来的时候看了一下很不错的，没浪费这个钱,0
